,number,value,datetime_start,datetime_complete,duration,params_activation,params_bottleneck_size,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_lr,params_n_layers,params_optimizer,user_attrs_bottleneck,user_attrs_decoder_dropout1,user_attrs_decoder_dropout2,user_attrs_decoder_dropout3,user_attrs_decoder_dropout4,user_attrs_decoder_dropout5,user_attrs_decoder_final,user_attrs_decoder_layer1,user_attrs_decoder_layer2,user_attrs_decoder_layer3,user_attrs_decoder_layer4,user_attrs_decoder_layer5,user_attrs_encoder_dropout1,user_attrs_encoder_dropout2,user_attrs_encoder_dropout3,user_attrs_encoder_dropout4,user_attrs_encoder_dropout5,user_attrs_encoder_layer1,user_attrs_encoder_layer2,user_attrs_encoder_layer3,user_attrs_encoder_layer4,user_attrs_encoder_layer5,state
31,31,0.31642603874206543,2023-04-04 18:13:03.405061,2023-04-04 18:14:52.943971,0 days 00:01:49.538910,2,89,0.11872268041878868,0.07510079424358151,0.42991751343241585,0.16193785233155653,0.17740800266232304,0.0002695422790654254,5,Adagrad,"[48, 89]",0.11872268041878868,0.07510079424358151,0.42991751343241585,0.16193785233155653,0.17740800266232304,"[6031, 193]","[89, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.11872268041878868,0.07510079424358151,0.42991751343241585,0.16193785233155653,0.17740800266232304,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",COMPLETE
32,32,0.33227401971817017,2023-04-04 18:14:52.945121,2023-04-04 18:16:43.088199,0 days 00:01:50.143078,2,51,0.06678626285785956,0.04378801055420681,0.4978531905356272,0.10247013216543242,0.12457328479003456,0.0007240878893883239,5,Adagrad,"[48, 51]",0.06678626285785956,0.04378801055420681,0.4978531905356272,0.10247013216543242,0.12457328479003456,"[6031, 193]","[51, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.06678626285785956,0.04378801055420681,0.4978531905356272,0.10247013216543242,0.12457328479003456,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",COMPLETE
33,33,0.24918174743652344,2023-04-04 18:16:43.089672,2023-04-04 18:18:37.215966,0 days 00:01:54.126294,2,70,0.10639279206481202,0.10228202383276419,0.45921554892971334,0.15119443095128968,0.23569395386764616,0.00031459167449285623,5,Adam,"[48, 70]",0.10639279206481202,0.10228202383276419,0.45921554892971334,0.15119443095128968,0.23569395386764616,"[6031, 193]","[70, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.10639279206481202,0.10228202383276419,0.45921554892971334,0.15119443095128968,0.23569395386764616,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",COMPLETE
34,34,0.4848383963108063,2023-04-04 18:18:37.217303,2023-04-04 18:18:44.037508,0 days 00:00:06.820205,2,70,0.10927072650210908,0.10174107686583372,0.4593065212761105,0.170214987992946,0.2529021078906259,0.00017924701615838144,5,Adagrad,"[48, 70]",0.10927072650210908,0.10174107686583372,0.4593065212761105,0.170214987992946,0.2529021078906259,"[6031, 193]","[70, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.10927072650210908,0.10174107686583372,0.4593065212761105,0.170214987992946,0.2529021078906259,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",PRUNED
35,35,0.5862267017364502,2023-04-04 18:18:44.038479,2023-04-04 18:18:46.649737,0 days 00:00:02.611258,2,52,0.007619441805546079,0.05986130066384035,0.4681377116098797,0.17607913531269886,0.23531171081406232,0.0009636319215056406,5,Adam,"[48, 52]",0.007619441805546079,0.05986130066384035,0.4681377116098797,0.17607913531269886,0.23531171081406232,"[6031, 193]","[52, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.007619441805546079,0.05986130066384035,0.4681377116098797,0.17607913531269886,0.23531171081406232,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",PRUNED
36,36,0.26757732033729553,2023-04-04 18:18:46.650580,2023-04-04 18:20:34.867761,0 days 00:01:48.217181,2,63,0.04509027109657046,0.029168990476249837,0.3963652156955419,0.2290559653633335,0.21656432776720974,0.0002512132714627531,5,Adagrad,"[48, 63]",0.04509027109657046,0.029168990476249837,0.3963652156955419,0.2290559653633335,0.21656432776720974,"[6031, 193]","[63, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.04509027109657046,0.029168990476249837,0.3963652156955419,0.2290559653633335,0.21656432776720974,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",COMPLETE
37,37,0.5316130518913269,2023-04-04 18:20:34.870054,2023-04-04 18:20:41.689057,0 days 00:00:06.819003,2,63,0.03880964341069015,0.03323549788920231,0.3930502957040639,0.23462938088598817,0.28009910450744446,0.0002165882779188957,5,Adagrad,"[48, 63]",0.03880964341069015,0.03323549788920231,0.3930502957040639,0.23462938088598817,0.28009910450744446,"[6031, 193]","[63, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.03880964341069015,0.03323549788920231,0.3930502957040639,0.23462938088598817,0.28009910450744446,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",PRUNED
38,38,0.9642582535743713,2023-04-04 18:20:41.689857,2023-04-04 18:20:44.194022,0 days 00:00:02.504165,2,53,0.031702072947084534,0.003728868217067055,0.4333265354828768,0.2880852843654788,0.2091535637362104,0.001853003944298279,5,Adagrad,"[48, 53]",0.031702072947084534,0.003728868217067055,0.4333265354828768,0.2880852843654788,0.2091535637362104,"[6031, 193]","[53, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.031702072947084534,0.003728868217067055,0.4333265354828768,0.2880852843654788,0.2091535637362104,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",PRUNED
39,39,0.9794988036155701,2023-04-04 18:20:44.194986,2023-04-04 18:20:46.596626,0 days 00:00:02.401640,1,76,0.08702846951177588,0.0602106199673775,0.38506443268898133,0.20988452345572858,0.29741444937230055,0.0003086585441429816,5,SGD,"[48, 76]",0.08702846951177588,0.0602106199673775,0.38506443268898133,0.20988452345572858,0.29741444937230055,"[6031, 193]","[76, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.08702846951177588,0.0602106199673775,0.38506443268898133,0.20988452345572858,0.29741444937230055,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",PRUNED
40,40,0.7197921872138977,2023-04-04 18:20:46.597705,2023-04-04 18:20:47.182279,0 days 00:00:00.584574,2,44,0.05911391872498334,0.04300180590979358,0.4613109419547952,0.09434557475024395,,7.991024943102051e-05,4,Adagrad,"[48, 44]",0.05911391872498334,0.04300180590979358,0.4613109419547952,0.09434557475024395,,"[3088, 193]","[44, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,0.05911391872498334,0.04300180590979358,0.4613109419547952,0.09434557475024395,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,PRUNED
