,number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_initializer,params_lr,params_n_layers,params_neurons,params_optimizer,params_output_initializer,state
77,77,0.7102914214134216,2023-05-18 17:19:48.669772,2023-05-18 17:19:58.200229,0 days 00:00:09.530457,elu,0,7.117009926855183e-05,9,512,0,1,COMPLETE
78,78,0.7286999702453614,2023-05-18 17:19:58.201376,2023-05-18 17:20:05.169725,0 days 00:00:06.968349,sigmoid,1,3.4567992121271716e-05,3,512,3,1,COMPLETE
79,79,0.6621357440948487,2023-05-18 17:20:05.170658,2023-05-18 17:20:12.081923,0 days 00:00:06.911265,sigmoid,1,0.0001303465936621114,2,512,2,1,COMPLETE
80,80,0.7072805523872375,2023-05-18 17:20:12.083019,2023-05-18 17:20:18.563292,0 days 00:00:06.480273,selu,1,0.00011294638935898102,2,512,2,1,COMPLETE
81,81,0.6651596426963806,2023-05-18 17:20:18.564222,2023-05-18 17:20:25.707085,0 days 00:00:07.142863,sigmoid,1,5.750092908212586e-05,2,512,2,1,COMPLETE
82,82,0.6735389471054077,2023-05-18 17:20:25.708261,2023-05-18 17:20:34.448273,0 days 00:00:08.740012,sigmoid,1,0.00015350378628234648,6,512,2,1,COMPLETE
83,83,0.6632633924484252,2023-05-18 17:20:34.449188,2023-05-18 17:20:41.440032,0 days 00:00:06.990844,sigmoid,1,0.00010593651943059273,2,512,2,1,COMPLETE
84,84,0.6630063414573669,2023-05-18 17:20:41.441014,2023-05-18 17:20:48.316353,0 days 00:00:06.875339,sigmoid,1,0.00011139967964149258,2,512,2,1,COMPLETE
85,85,0.6656683444976806,2023-05-18 17:20:48.317386,2023-05-18 17:20:55.115592,0 days 00:00:06.798206,sigmoid,1,9.784311192261399e-05,3,512,2,1,COMPLETE
86,86,0.663344144821167,2023-05-18 17:20:55.116511,2023-05-18 17:21:02.527093,0 days 00:00:07.410582,sigmoid,1,0.00011724283504175845,2,512,2,1,COMPLETE
87,87,0.6661184191703796,2023-05-18 17:21:02.528058,2023-05-18 17:21:09.929880,0 days 00:00:07.401822,sigmoid,1,9.297257295532856e-05,3,512,2,1,COMPLETE
88,88,0.6756510019302369,2023-05-18 17:21:09.930800,2023-05-18 17:21:16.882676,0 days 00:00:06.951876,tanh,1,6.072789273268361e-05,2,512,2,1,COMPLETE
89,89,0.6637755155563354,2023-05-18 17:21:16.883593,2023-05-18 17:21:23.851345,0 days 00:00:06.967752,sigmoid,1,0.00010595240778422478,2,512,2,1,COMPLETE
90,90,0.6912387251853943,2023-05-18 17:21:23.852399,2023-05-18 17:21:30.572127,0 days 00:00:06.719728,linear,1,4.038379747960991e-05,3,512,2,1,COMPLETE
91,91,0.6637110233306884,2023-05-18 17:21:30.573197,2023-05-18 17:21:37.287945,0 days 00:00:06.714748,sigmoid,1,0.00011309442827541353,2,512,2,1,COMPLETE
92,92,0.663257110118866,2023-05-18 17:21:37.288861,2023-05-18 17:21:44.925635,0 days 00:00:07.636774,sigmoid,1,0.00013647639263092645,2,512,2,1,COMPLETE
93,93,0.6620703101158142,2023-05-18 17:21:44.926594,2023-05-18 17:21:51.880266,0 days 00:00:06.953672,sigmoid,1,0.0001572719374521295,2,512,2,1,COMPLETE
94,94,0.6643681645393371,2023-05-18 17:21:51.881178,2023-05-18 17:21:58.824158,0 days 00:00:06.942980,sigmoid,1,0.00015955228803325703,2,512,2,1,COMPLETE
95,95,0.6624794244766236,2023-05-18 17:21:58.825095,2023-05-18 17:22:05.952027,0 days 00:00:07.126932,sigmoid,1,0.00012972662378216553,2,512,2,1,COMPLETE
96,96,0.7561397552490234,2023-05-18 17:22:05.952923,2023-05-18 17:22:12.316095,0 days 00:00:06.363172,relu,1,0.00012633688065003868,2,512,1,1,COMPLETE
97,97,0.6629115819931031,2023-05-18 17:22:12.316988,2023-05-18 17:22:19.278922,0 days 00:00:06.961934,sigmoid,0,0.00014927069916854222,2,512,2,1,COMPLETE
98,98,0.6636264085769653,2023-05-18 17:22:19.279849,2023-05-18 17:22:26.014404,0 days 00:00:06.734555,sigmoid,0,0.00015662777001594643,2,512,2,1,COMPLETE
99,99,0.6712796807289123,2023-05-18 17:22:26.015325,2023-05-18 17:22:32.474431,0 days 00:00:06.459106,elu,0,0.0002376565296599956,2,256,2,1,COMPLETE
100,100,0.6648845195770263,2023-05-18 17:22:32.475344,2023-05-18 17:22:39.279341,0 days 00:00:06.803997,sigmoid,0,8.75737489926009e-05,2,512,2,1,COMPLETE
101,101,0.6643672227859497,2023-05-18 17:22:39.280414,2023-05-18 17:22:45.812964,0 days 00:00:06.532550,sigmoid,0,0.00013121594254608942,2,512,2,1,COMPLETE
102,102,0.6646277904510498,2023-05-18 17:22:45.813948,2023-05-18 17:22:52.922316,0 days 00:00:07.108368,sigmoid,0,0.0001771280485912882,2,512,2,1,COMPLETE
103,103,0.6634141564369201,2023-05-18 17:22:52.924375,2023-05-18 17:22:59.555058,0 days 00:00:06.630683,sigmoid,1,0.00021714713848158774,2,512,2,1,COMPLETE
104,104,0.6901071310043335,2023-05-18 17:22:59.556120,2023-05-18 17:23:06.828796,0 days 00:00:07.272676,gelu,1,0.0001313698899628701,2,512,2,1,COMPLETE
105,105,0.6665763258934021,2023-05-18 17:23:06.829748,2023-05-18 17:23:14.209254,0 days 00:00:07.379506,sigmoid,1,8.70737535568347e-05,3,512,2,1,COMPLETE
106,106,0.7554906010627747,2023-05-18 17:23:14.210192,2023-05-18 17:23:21.093513,0 days 00:00:06.883321,sigmoid,0,0.00010676483557549451,2,64,3,1,COMPLETE
107,107,0.6669761180877686,2023-05-18 17:23:21.094460,2023-05-18 17:23:28.756355,0 days 00:00:07.661895,sigmoid,1,6.465801987962354e-05,3,512,2,1,COMPLETE
108,108,0.6631876468658447,2023-05-18 17:23:28.757295,2023-05-18 17:23:35.443248,0 days 00:00:06.685953,sigmoid,1,0.0001595869172280093,2,512,2,1,COMPLETE
109,109,0.7154447555541992,2023-05-18 17:23:35.444325,2023-05-18 17:23:42.085675,0 days 00:00:06.641350,selu,1,0.00016001010885385907,2,512,2,1,COMPLETE
110,110,0.6627265572547912,2023-05-18 17:23:42.086591,2023-05-18 17:23:49.043572,0 days 00:00:06.956981,sigmoid,1,0.00020288557115196793,3,512,2,1,COMPLETE
111,111,0.6625013232231141,2023-05-18 17:23:49.044615,2023-05-18 17:23:55.838480,0 days 00:00:06.793865,sigmoid,1,0.00019494348716483367,3,512,2,1,COMPLETE
112,112,0.6659849047660827,2023-05-18 17:23:55.839552,2023-05-18 17:24:04.016055,0 days 00:00:08.176503,sigmoid,1,0.00014169187554414318,4,512,2,1,COMPLETE
113,113,0.6631290435791015,2023-05-18 17:24:04.017074,2023-05-18 17:24:10.816225,0 days 00:00:06.799151,sigmoid,1,0.0002152019730774736,3,512,2,1,COMPLETE
114,114,0.6686580181121826,2023-05-18 17:24:10.817298,2023-05-18 17:24:18.276112,0 days 00:00:07.458814,sigmoid,1,0.00017247408788187253,4,512,2,1,COMPLETE
115,115,0.6640515685081482,2023-05-18 17:24:18.277048,2023-05-18 17:24:25.426844,0 days 00:00:07.149796,sigmoid,1,0.0002310050405654436,3,256,2,1,COMPLETE
116,116,0.6629725813865661,2023-05-18 17:24:25.427763,2023-05-18 17:24:33.491552,0 days 00:00:08.063789,sigmoid,1,0.00025600619792189575,3,512,2,1,COMPLETE
117,117,0.7291534304618835,2023-05-18 17:24:33.492528,2023-05-18 17:24:40.387458,0 days 00:00:06.894930,tanh,1,0.0003642987830303801,3,512,1,1,COMPLETE
118,118,0.6728058218955993,2023-05-18 17:24:40.388406,2023-05-18 17:24:47.502502,0 days 00:00:07.114096,sigmoid,1,0.00026015388883903823,5,64,2,1,COMPLETE
119,119,0.6641486883163452,2023-05-18 17:24:47.503547,2023-05-18 17:24:54.232510,0 days 00:00:06.728963,sigmoid,1,0.00021677404801380326,3,512,2,1,COMPLETE
120,120,0.6836719155311585,2023-05-18 17:24:54.233512,2023-05-18 17:25:01.305417,0 days 00:00:07.071905,linear,0,0.00019221889404046302,4,512,2,1,COMPLETE
121,121,0.6637197971343994,2023-05-18 17:25:01.306321,2023-05-18 17:25:08.692229,0 days 00:00:07.385908,sigmoid,1,0.00015484795654612682,3,512,2,1,COMPLETE
122,122,0.6632116317749024,2023-05-18 17:25:08.693276,2023-05-18 17:25:15.518872,0 days 00:00:06.825596,sigmoid,1,0.00027759861389824327,3,512,2,1,COMPLETE
123,123,0.6641702294349671,2023-05-18 17:25:15.520022,2023-05-18 17:25:22.276371,0 days 00:00:06.756349,sigmoid,1,0.00029636141946172987,3,512,2,1,COMPLETE
124,124,0.6653727173805237,2023-05-18 17:25:22.277272,2023-05-18 17:25:29.674361,0 days 00:00:07.397089,sigmoid,1,0.0003919333575093269,3,512,2,1,COMPLETE
